filename,gt
0,|-s_5-|-|-|-|-|-s_0-|-|
1,|-s_5-s_1-s_5-s_7-s_0-s_4-|-s_7-|
2,|-s_1-|-|-|-|-s_3-s_7-|-|
3,s_1-|-|-|-s_4-|-s_9-|-|-|
4,s_4-s_2-s_2-s_5-s_7-s_5-s_5-|-s_5-|
5,|-|-|-s_5-s_8-s_3-s_4-|-|-s_4
6,s_1-s_1-|-s_8-s_5-s_1-s_6-s_6-s_1-s_1
7,|-s_1-s_1-s_8-s_8-s_7-s_8-s_0-s_4-|
8,|-|-|-s_3-s_4-|-s_8-s_6-|-|
9,s_9-s_6-|-|-s_7-|-|-|-|-|
10,|-|-|-s_9-s_6-s_0-|-|-s_4-s_8
11,s_6-|-|-s_0-s_1-s_9-s_8-|-s_1-s_5
12,s_5-s_6-s_8-s_5-s_5-s_0-|-|-s_3-|
13,|-|-|-s_1-s_5-s_0-|-|-s_1-s_8
14,s_5-|-s_7-|-|-|-s_4-s_4-s_0-|
15,s_6-s_1-s_0-s_5-|-|-s_4-s_6-|-s_0
16,s_7-|-|-|-s_0-|-s_7-s_3-s_8-s_9
17,s_7-|-|-s_1-|-s_3-|-s_6-s_0-s_3
18,|-|-s_5-|-|-|-s_6-|-|-s_8
19,|-s_2-|-|-|-|-s_0-s_5-s_7-s_6
20,s_5-s_7-|-s_7-|-s_1-|-s_8-s_2-|
21,|-s_4-s_8-|-|-|-s_3-s_5-s_1-s_4
22,s_9-s_3-s_1-s_0-|-|-s_9-|-|-s_6
23,|-|-|-s_7-s_1-s_7-s_0-s_1-s_5-|
24,s_8-|-|-|-|-|-|-s_7-s_2-s_2
25,|-|-|-|-|-s_1-|-s_6-s_1-|
26,|-|-s_1-|-|-|-|-s_4-s_5-s_6
27,s_2-|-|-s_4-|-|-|-s_9-s_1-|
28,s_2-|-s_9-|-|-s_3-|-s_3-|-s_4
29,|-s_9-|-|-|-|-|-|-|-|
30,s_3-|-s_8-s_4-|-s_6-|-s_3-|-s_2
31,s_0-|-|-|-s_0-|-|-s_1-s_5-|
32,s_3-|-|-s_3-|-|-|-s_2-|-|
33,s_0-|-s_1-s_8-s_9-s_3-|-|-|-s_4
34,s_7-s_1-|-|-|-|-|-|-s_9-s_9
35,|-s_4-s_4-s_7-s_7-s_8-s_6-|-|-s_2
36,|-s_7-|-|-s_2-|-|-s_8-s_5-s_9
37,s_8-s_5-s_4-|-|-|-s_6-|-s_1-|
38,|-s_2-s_2-|-|-s_1-s_6-|-s_4-|
39,|-s_5-s_9-|-|-s_7-|-s_7-|-|
40,|-s_2-|-s_5-|-s_6-|-s_3-|-s_6
41,s_7-s_7-|-s_2-s_0-|-s_1-|-s_1-s_1
42,s_8-s_6-|-s_5-s_1-s_3-|-s_6-s_3-s_2
43,s_7-s_9-s_3-s_6-|-|-s_0-|-|-s_6
44,s_3-|-s_1-|-|-s_1-s_1-|-|-|
45,|-s_4-|-s_9-s_6-|-s_3-s_6-s_5-|
46,|-|-|-|-|-s_5-s_0-s_2-|-s_1
47,|-s_2-s_2-s_8-|-|-s_9-s_5-|-s_6
48,|-|-s_9-|-|-|-s_0-|-|-|
49,s_7-|-|-s_8-s_3-|-s_4-s_4-|-s_5
50,|-|-|-|-|-s_2-|-s_9-|-s_3
51,|-|-s_4-s_5-s_4-|-s_2-s_2-|-|
52,|-|-s_9-s_9-|-s_8-s_5-s_7-|-|
53,s_6-s_7-|-s_0-s_6-s_7-s_7-|-s_0-|
54,|-s_5-|-s_3-|-s_4-s_0-s_6-|-|
55,|-s_0-|-|-|-|-|-s_2-|-s_0
56,s_2-s_8-s_4-s_6-|-s_9-s_6-|-s_2-|
57,s_1-s_7-s_0-|-s_1-s_3-|-|-s_6-|
58,s_6-|-|-s_1-|-|-|-|-|-|
59,s_9-s_6-s_4-|-|-|-|-|-s_2-s_8
60,s_9-s_2-s_0-|-s_7-|-|-|-|-|
61,|-s_5-s_7-|-s_9-|-|-|-|-|
62,|-s_7-s_8-s_8-|-|-s_6-s_4-|-s_5
63,|-s_4-s_5-s_8-s_2-s_1-s_9-s_0-|-|
64,|-|-s_6-|-s_5-s_0-|-s_7-|-s_9
65,s_5-|-|-s_5-|-s_3-|-s_5-s_4-s_1
66,|-|-s_4-|-s_4-s_6-|-s_0-|-s_2
67,|-|-|-|-s_2-s_0-s_0-|-s_1-s_2
68,s_9-s_9-|-|-|-s_8-s_7-s_1-s_9-s_6
69,|-|-s_8-s_9-s_7-s_9-s_6-|-|-s_2
70,s_5-|-|-s_4-|-|-|-s_0-|-s_1
71,|-s_4-s_6-|-s_5-|-|-|-s_2-s_5
72,s_3-s_0-|-|-|-|-s_9-s_8-s_9-s_0
73,s_5-s_7-s_7-|-|-|-s_8-|-s_8-s_5
74,|-s_1-|-s_0-s_2-s_5-|-|-|-|
75,|-|-|-|-|-|-s_6-|-|-|
76,|-s_1-s_1-s_8-|-s_8-s_0-|-s_0-s_7
77,|-|-s_1-s_6-s_5-s_7-s_8-s_7-s_0-|
78,|-|-s_0-|-|-|-s_5-|-|-|
79,|-s_5-s_6-s_9-s_6-s_1-s_7-|-|-|
80,|-|-s_2-|-|-s_0-s_2-|-s_8-s_1
81,|-s_1-s_4-s_3-|-s_7-|-|-|-|
82,|-s_7-|-s_8-|-|-s_6-s_6-s_1-|
83,|-|-|-s_7-|-s_4-|-s_0-s_4-s_0
84,|-|-|-s_2-s_3-|-|-s_4-s_5-|
85,|-|-s_3-s_2-s_7-s_1-|-|-|-|
86,|-|-s_5-|-|-s_7-|-|-|-s_2
87,s_6-|-|-s_5-s_1-s_3-s_3-s_2-|-s_9
88,|-|-|-|-s_1-s_9-|-|-|-|
89,|-|-|-|-|-s_7-|-s_8-|-s_7
90,s_9-|-|-|-|-s_0-|-s_7-s_7-|
91,|-|-s_7-s_9-|-s_7-s_8-|-s_9-s_8
92,s_7-s_3-|-s_0-s_9-|-|-|-|-|
93,|-|-|-s_4-|-|-s_2-|-s_8-s_5
94,s_3-|-|-s_1-s_3-s_0-s_7-|-|-|
95,|-|-s_2-s_8-s_8-s_9-s_1-|-s_8-|
96,s_7-s_5-|-s_9-s_6-|-|-|-|-s_1
97,|-s_6-|-s_2-s_8-|-s_8-|-s_4-s_3
98,s_3-|-|-|-s_3-s_3-|-|-s_0-|
99,s_1-s_9-|-s_4-s_4-|-s_3-|-s_1-s_4
100,s_9-s_1-|-|-s_5-s_0-s_1-|-|-|
101,s_2-|-|-|-s_6-s_5-|-s_9-s_0-|
102,s_0-|-s_8-s_4-|-s_2-s_8-|-|-|
103,s_2-|-|-|-|-s_4-|-s_1-s_6-|
104,s_5-s_2-|-|-|-s_0-s_2-|-|-|
105,|-|-|-|-|-s_5-s_7-|-s_5-s_1
106,|-|-s_7-s_5-|-|-s_9-|-s_2-|
107,|-s_3-s_9-s_9-|-s_2-s_0-|-|-|
108,|-s_3-s_5-s_4-s_2-s_7-s_6-s_1-|-s_1
109,s_7-|-|-|-|-s_2-s_0-s_1-|-|
110,|-s_9-|-|-|-s_8-s_5-|-|-s_0
111,s_8-s_7-|-|-s_8-s_7-|-|-|-s_5
112,s_8-|-|-|-|-|-s_2-s_4-s_1-s_0
